,Pay_Type_1,Pay_Type_2,Total_Payment
390,0.0,6925.0,6925.0
391,0.0,5750.0,5750.0
392,0.0,4400.0,4400.0
393,0.0,6525.0,6525.0
394,0.0,5005.0,5005.0
395,0.0,3525.0,3525.0
396,23.61,8770.66,8794.27
397,0.0,3675.0,3675.0
398,0.0,4250.0,4250.0
399,0.0,3450.0,3450.0
400,0.0,3025.0,3025.0
401,0.0,5700.0,5700.0
402,0.0,4425.0,4425.0
403,0.0,3925.0,3925.0
404,0.0,3000.0,3000.0
405,0.0,4050.0,4050.0
406,0.0,2525.0,2525.0
407,0.0,875.0,875.0
408,0.0,0.0,0.0
409,0.0,0.0,0.0
410,0.0,0.0,0.0
411,0.0,0.0,0.0
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,0.0,0.0
415,0.0,0.0,0.0
416,0.0,0.0,0.0
417,0.0,0.0,0.0
418,0.0,0.0,0.0
419,0.0,0.0,0.0
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,0.0,0.0,0.0
424,0.0,0.0,0.0
425,0.0,0.0,0.0
426,0.0,0.0,0.0
427,0.0,0.0,0.0
428,0.0,0.0,0.0
429,0.0,0.0,0.0
430,0.0,0.0,0.0
431,0.0,0.0,0.0
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,0.0,200.0,200.0
435,0.0,200.0,200.0
436,0.0,1400.0,1400.0
437,0.0,2550.0,2550.0
438,0.0,1400.0,1400.0
439,0.0,100.0,100.0
440,0.0,0.0,0.0
441,0.0,0.0,0.0
442,0.0,0.0,0.0
443,0.0,2600.0,2600.0
444,0.0,50.0,50.0
445,0.0,2550.0,2550.0
446,0.0,0.0,0.0
447,0.0,0.0,0.0
448,0.0,200.0,200.0
449,0.0,2500.0,2500.0
450,0.0,0.0,0.0
451,0.0,50.0,50.0
452,0.0,50.0,50.0
453,0.0,0.0,0.0
454,0.0,0.0,0.0
455,0.0,0.0,0.0
456,0.0,1250.0,1250.0
457,0.0,0.0,0.0
458,0.0,0.0,0.0
459,0.0,0.0,0.0
460,0.0,50.0,50.0
461,0.0,0.0,0.0
462,0.0,0.0,0.0
463,362.5,0.0,362.5
464,362.5,0.0,362.5
465,290.0,516.69,806.69
466,1868.0700000000002,2755.0,4623.07
467,3242.0,340.0,3582.0
468,1431.5,1251.0,2682.5
469,362.5,150.0,512.5
470,362.5,0.0,362.5
471,362.5,0.0,362.5
472,2539.44,0.0,2539.44
473,2798.5,0.0,2798.5
474,4988.0,1297.0,6285.0
475,4161.5,1551.5,5713.0
476,7292.28,530.5,7822.78
477,12939.66,5065.2,18004.86
478,13057.6,715.0,13772.6
479,12416.37,1118.1399999999999,13534.51
480,14164.48,1315.52,15480.0
481,17070.3,3383.87,20454.17
482,25601.62,715.49,26317.11
483,18261.1,1455.0,19716.1
484,22076.53,1616.3600000000001,23692.89
485,19327.62,2286.87,21614.49
